,x,y,w,h,score
0,417,1301,51,44,0.86797404
1,1103,151,43,41,0.87709635
2,504,1095,43,41,0.85455614
3,1893,253,36,35,0.84520507
4,987,256,36,35,0.87495077
5,1764,341,36,35,0.82512975
6,1800,380,36,35,0.82494354
7,862,399,36,35,0.8928543
8,833,441,36,35,0.91114724
9,796,489,36,35,0.91941947
10,1884,510,36,35,0.8297522
11,781,533,36,35,0.8963375
12,756,582,36,35,0.89653903
13,713,674,36,35,0.90199655
14,697,721,36,35,0.90094537
15,2025,781,36,35,0.8008426
16,652,808,36,35,0.86418253
17,633,854,36,35,0.9128904
18,2060,864,36,35,0.8014503
19,2094,940,36,35,0.80719537
20,2162,1105,36,35,0.81243235
21,2176,1142,36,35,0.8108545
22,2232,1271,36,35,0.81234205
23,2249,1306,36,35,0.809443
24,384,1436,36,35,0.8283777
25,346,1519,36,35,0.8877363
26,253,1732,36,35,0.8416776
27,2433,1763,36,35,0.8142581
28,236,1777,36,35,0.8626892
29,219,1823,36,35,0.8558474
30,2473,1884,36,35,0.8402089
31,1391,114,46,41,0.9074365
32,1494,142,46,41,0.85235685
33,1540,166,46,41,0.90509003
34,1578,198,46,41,0.89141357
35,1444,131,45,38,0.81415313
36,1030,172,40,40,0.8224145
37,2269,1443,40,40,0.84053004
38,2285,1483,40,40,0.8585913
39,2305,1524,40,40,0.8246096
40,2325,1571,40,40,0.84438133
41,258,1643,40,40,0.82839006
42,243,1688,40,40,0.8433176
43,2373,1690,40,40,0.8670733
44,2390,1737,40,40,0.83679664
45,1828,423,43,38,0.81226045
46,582,933,43,38,0.9423056
47,565,973,43,38,0.94009906
48,545,1014,43,38,0.94538
49,522,1054,43,38,0.9041068
50,476,1179,43,38,0.91410804
51,453,1218,43,38,0.9011881
52,403,1347,43,38,0.9016529
53,386,1390,43,38,0.92139006
54,351,1475,43,38,0.8905368
55,302,1601,43,38,0.9447002
